ANO_ENTREGA;COMUNA;DIRECCION;ESTADO;FECHA_ENTR;FECHA_PUBLICACION;INMOBILIARIA;MODALIDAD;N_BANOS;N_DORMITORIOS;MONEDA;REGION;TIPO;PRECIO_DESPLIEGUE;UF;UF_DESDE;UF_HASTA;M2_TOTALES;M2_CONSTRUIDOS;M2_DESDE;M2_HASTA
;VINA DEL MAR;TRASLAVINA;USADA;;22-04-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 13,39;13,39;;;;9;;
;VINA DEL MAR;RENACA NORTE;USADA;;10-01-2019;;ARRIENDO;1;2;UF;V;OFICINAS;UF 13,42;13,42;;;;28;;
;VINA DEL MAR;RENACA NORTE;USADA;;10-01-2019;;ARRIENDO;1;2;UF;V;OFICINAS;UF 13,42;13,42;;;;29;;
;VINA DEL MAR;ESTACION DE SERVICIO COPEC;USADA;;08-02-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 13,50;13,50;;;;35;;
;VINA DEL MAR;OFICINAS Y LOCALES EN ARRIENDO;USADA;;06-12-2016;;ARRIENDO;6;11;UF;V;OFICINAS;UF 13,50;13,50;;;400;400;;
;VINA DEL MAR;ANGAMOS;USADA;;06-06-2019;;ARRIENDO;;;UF;V;OFICINAS;UF 13,65;13,65;;;;55;;
;CONCON;LAS PELARGONIAS 842;USADA;;30-05-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 13,69;13,69;;;;27;;
;VINA DEL MAR;RENACA NORTE 25;USADA;;15-05-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 13,71;13,71;;;;35;;
;VALPARAISO;BLANCO 1663;USADA;;15-05-2019;;ARRIENDO;1;3;UF;V;OFICINAS;UF 13,71;13,71;;;50;50;;
;VINA DEL MAR;EDIFICIO CONTEMPORA;USADA;;28-04-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 13,74;13,74;;;;24;;
;VINA DEL MAR;OFICINA NUEVA;USADA;;07-02-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 13,79;13,79;;;;24,58;;
;VINA DEL MAR;RENACA NORTE 25;USADA;;28-03-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 13,80;13,80;;;27,67;27,67;;
;VINA DEL MAR;OFICINA NUEVA EN EDIFICIO CONTEMPORANEO DE 24 M2;USADA;;07-05-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 13,86;13,86;;;24;24;;
;VINA DEL MAR;FRENTE HOSPITAL CLINICO;USADA;;29-11-2018;;ARRIENDO;1;1;UF;V;OFICINAS;UF 13,98;13,98;;;;24;;
;VINA DEL MAR;RENACA NORTE 25;USADA;;28-01-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 14,00;14,00;;;;32;;
